i,d
b,i,o,i,d
d,a,t,e,_,o,f,_,b,i,r,t,h
213,S001185,1965-01-01
214,S000320,1934-05-06
215,S000344,1954-10-24
216,S000364,1958-02-21
217,S001148,1950-09-08
218,S001165,1951-01-26
219,S000510,1965-06-15
220,S001172,1970-12-19
221,S000522,1953-03-04
222,S001175,1950-05-14
223,S001187,1965-03-24
224,S001156,1969-01-28
225,T000193,1948-01-28
226,T000460,1951-01-24
227,T000467,1959-07-27
228,T000238,1958-07-15
229,T000250,1961-01-07
230,T000470,1956-11-09
231,T000469,1949-06-18
232,T000461,1961-11-17
233,T000463,1960-01-11
234,U000031,1953-04-23
235,V000128,1959-01-10
236,V000081,1953-03-28
237,V000108,1949-08-13
238,W000798,1951-04-12
239,W000791,1957-01-10
240,W000797,1966-09-27
241,W000187,1938-08-15
242,W000806,1949-04-27
243,W000800,1947-05-02
244,W000795,1947-07-31
245,W000808,1942-11-05
246,W000804,1959-02-03
247,W000809,1957-02-18
248,W000810,1970-02-11
249,W000779,1949-05-03
250,Y000062,1947-11-04
251,Y000033,1933-06-09
252,Y000064,1972-08-24
253,A000369,1958-06-12
254,B001278,1954-10-14
255,D000617,1962-02-17
256,M001184,1971-01-13
257,P000604,1958-12-17
258,S001194,1972-10-20
259,F000454,1955-10-07
260,T000468,1950-05-23
261,C001095,1977-05-13
262,S001191,1976-07-12
263,L000578,1960-07-02
264,H001068,1964-02-18
265,B001287,1965-03-02
266,C001094,1943-03-03
267,S001193,1980-11-16
268,B001285,1952-08-28
269,C001097,1963-03-31
270,R000599,1972-08-25
271,T000472,1960-12-10
272,L000579,1941-03-08
273,V000130,1961-03-07
274,P000608,1958-06-17
275,Y000065,1955-04-13
276,F000462,1948-05-16
277,C001093,1966-08-16
278,G000571,1981-04-12
279,D000622,1968-03-12
280,D000619,1970-01-05
281,B001286,1961-10-17
282,W000813,1963-08-17
283,B001284,1960-08-25
284,B001282,1973-07-24
285,W000817,1949-06-22
286,K000379,1980-10-04
287,K000383,1944-03-31
288,K000380,1958-08-11
289,W000812,1962-09-13
290,D000618,1962-08-20
291,H001067,1971-11-04
292,H001065,1968-04-17
293,C001096,1961-01-21
294,F000463,1951-03-01
295,K000382,1956-09-05
296,M001188,1975-10-01
297,J000294,1970-08-04
298,M001185,1966-07-30
299,W000815,1958-06-17
300,B001281,1950-03-12
301,J000295,1957-03-17
302,M001190,1977-07-26
303,P000605,1962-05-27
304,C001090,1961-05-01
305,R000597,1957-08-04
306,C001098,1970-12-22
307,W000814,1953-07-02
308,C001091,1974-09-16
309,W000816,1949-09-13
310,V000131,1971-01-03
311,V000132,1963-02-13
312,S001192,1960-07-15
313,K000384,1958-02-26
314,K000381,1974-01-01
315,H001064,1952-07-29
316,P000607,1964-08-14
317,K000385,1956-04-30
318,S001195,1980-06-16
319,B001288,1969-04-27
320,C001101,1963-07-17
321,B001289,1955-02-16
322,N000188,1958-12-13
323,A000370,1946-05-27
